ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00501,35620,0.000000000,1.000000000,0.000000000,1.000000000
00601,38660,1.000000000,1.000000000,1.000000000,1.000000000
00602,10380,1.000000000,1.000000000,1.000000000,1.000000000
00603,10380,1.000000000,1.000000000,1.000000000,1.000000000
00604,10380,1.000000000,1.000000000,1.000000000,1.000000000
00605,10380,1.000000000,1.000000000,1.000000000,1.000000000
00606,99999,1.000000000,1.000000000,1.000000000,1.000000000
00610,10380,1.000000000,1.000000000,1.000000000,1.000000000
00611,10380,1.000000000,1.000000000,1.000000000,1.000000000
00612,10380,0.000946237,0.000404694,0.003091190,0.000948119
00612,11640,0.995483871,0.999190611,0.996908810,0.995866201
00612,41980,0.003569892,0.000404694,0.000000000,0.003185680
00613,11640,1.000000000,1.000000000,1.000000000,1.000000000
00614,11640,1.000000000,1.000000000,1.000000000,1.000000000
00616,11640,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,1.000000000,1.000000000,1.000000000,1.000000000
00622,41900,1.000000000,1.000000000,1.000000000,1.000000000
00623,41900,0.999158903,1.000000000,1.000000000,0.999215402
00623,32420,0.000841097,0.000000000,0.000000000,0.000784598
00624,38660,0.001069662,0.000000000,0.000000000,0.001012915
00624,49500,0.998930338,1.000000000,1.000000000,0.998987085
00627,11640,1.000000000,1.000000000,1.000000000,1.000000000
00631,10380,0.000000000,0.000000000,1.000000000,1.000000000
00637,41900,1.000000000,1.000000000,1.000000000,1.000000000
00638,41980,1.000000000,1.000000000,1.000000000,1.000000000
00641,38660,0.028061488,0.004587156,0.290909091,0.030726788
00641,10380,0.971938512,0.995412844,0.709090909,0.969273212
00646,41980,1.000000000,1.000000000,1.000000000,1.000000000
00647,41900,0.008039047,0.000000000,0.000000000,0.007790762
00647,49500,0.991960953,1.000000000,1.000000000,0.992209238
00650,11640,0.136218850,0.006329114,0.160000000,0.132608696
00650,41980,0.863781150,0.993670886,0.840000000,0.867391304
00652,11640,1.000000000,1.000000000,1.000000000,1.000000000
00653,49500,1.000000000,1.000000000,1.000000000,1.000000000
00656,49500,1.000000000,1.000000000,1.000000000,1.000000000
00659,11640,1.000000000,1.000000000,1.000000000,1.000000000
00660,32420,1.000000000,1.000000000,1.000000000,1.000000000
00662,11640,0.001211866,0.000734754,0.000000000,0.001165728
00662,10380,0.998788134,0.999265246,1.000000000,0.998834272
00664,27580,0.996203905,1.000000000,1.000000000,0.996515679
00664,10380,0.003796095,0.000000000,0.000000000,0.003484321
00667,41900,1.000000000,1.000000000,1.000000000,1.000000000
00669,10380,1.000000000,1.000000000,1.000000000,1.000000000
00670,32420,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,1.000000000,1.000000000,1.000000000,1.000000000
00676,10380,1.000000000,1.000000000,1.000000000,1.000000000
00677,10380,1.000000000,1.000000000,1.000000000,1.000000000
00678,11640,1.000000000,1.000000000,1.000000000,1.000000000
00680,41900,0.000000000,0.000382995,0.000000000,0.000040796
00680,10380,0.000047918,0.000000000,0.000000000,0.000040796
00680,32420,0.999952082,0.999617005,1.000000000,0.999918407
00681,32420,1.000000000,1.000000000,1.000000000,1.000000000
00682,32420,1.000000000,1.000000000,1.000000000,1.000000000
00683,32420,0.033721206,0.001131222,0.009803922,0.031265943
00683,41900,0.966278794,0.998868778,0.990196078,0.968734057
00685,10380,1.000000000,1.000000000,1.000000000,1.000000000
00687,41980,1.000000000,1.000000000,1.000000000,1.000000000
00688,11640,1.000000000,1.000000000,1.000000000,1.000000000
00690,10380,1.000000000,1.000000000,1.000000000,1.000000000
00692,41980,1.000000000,1.000000000,1.000000000,1.000000000
00693,41980,1.000000000,1.000000000,1.000000000,1.000000000
00694,41980,1.000000000,1.000000000,1.000000000,1.000000000
00698,49500,0.998527065,1.000000000,1.000000000,0.998640381
00698,41900,0.001472935,0.000000000,0.000000000,0.001359619
00703,41980,1.000000000,1.000000000,1.000000000,1.000000000
00704,17640,1.000000000,1.000000000,1.000000000,1.000000000
00705,17620,0.001296680,0.000000000,0.000000000,0.001154335
00705,41980,0.998703320,1.000000000,1.000000000,0.998845665
00707,41980,1.000000000,1.000000000,1.000000000,1.000000000
00714,25020,1.000000000,1.000000000,1.000000000,1.000000000
00715,38660,1.000000000,1.000000000,1.000000000,1.000000000
00716,38660,1.000000000,1.000000000,1.000000000,1.000000000
00717,38660,1.000000000,1.000000000,1.000000000,1.000000000
00718,41980,1.000000000,1.000000000,1.000000000,1.000000000
00719,41980,1.000000000,1.000000000,1.000000000,1.000000000
00720,41980,0.994234465,1.000000000,1.000000000,0.994796184
00720,38660,0.005765535,0.000000000,0.000000000,0.005203816
00721,41980,1.000000000,1.000000000,1.000000000,1.000000000
00723,25020,0.836836999,0.993690852,1.000000000,0.846188955
00723,41980,0.163163001,0.006309148,0.000000000,0.153811045
00725,41980,1.000000000,1.000000000,1.000000000,1.000000000
00726,41980,1.000000000,1.000000000,1.000000000,1.000000000
00727,41980,1.000000000,1.000000000,1.000000000,1.000000000
00728,38660,1.000000000,1.000000000,1.000000000,1.000000000
00729,41980,1.000000000,1.000000000,1.000000000,1.000000000
00730,38660,1.000000000,1.000000000,1.000000000,1.000000000
00731,38660,1.000000000,1.000000000,1.000000000,1.000000000
00732,38660,1.000000000,1.000000000,1.000000000,1.000000000
00733,38660,1.000000000,1.000000000,1.000000000,1.000000000
00735,41980,1.000000000,1.000000000,1.000000000,1.000000000
00736,41980,1.000000000,1.000000000,1.000000000,1.000000000
