"","Year","TOTAL_FROM_COUNTY","FROM_BUSINESS","FROM_FAMILY","FROM_INDIVIDUAL","FROM_PERM","FROM_TEMP","TOTAL_TO_COUNTY","TO_BUSINESS","TO_FAMILY","TO_INDIVIDUAL","TO_PERM","TO_TEMP","NET_COUNTY","NET_BUSINESS","NET_FAMILY","NET_INDIVIDUAL","NET_RES","NET_PERM","NET_TEMP","ams_res","ams_bus","ams_oth","ams_total","USPS_ZIP_PREF_CITY","USPS_ZIP_PREF_STATE","X","Y","ZIP_CLASS","CITY","STATE","STATECODE","STATENAME","COUNTY","COUNTYNM","MSA","AREACODE","AREACODES","TIMEZONE","GMTOFFSET","DST","PONAME","ALIAS_CITY","ALIAS_CITYN","CITY2","STATENAME2","RES_percent","BUS_percent","TOT_percent"
"1","2018",214657,21762,34007,157081,197467,16316,186634,19195,30078,135111,167838,17560,-28023,-2567,-3929,-21970,-25899,-29629,100,27604052,4675276,2070544,34349872,"NEW YORK","NY",-73.994517,40.75205,NA,"New York",36,"NY","New York",61,"New York",5600,212,"212/332/646/","Eastern",-5,"Y","New York",NA,"Empire State||Gpo||Greeley Square||Macys Finance||Manhattan||New York City||Ny||Ny City||Nyc","NEWYORK","NEWYORK",-0.000938231821907885,-0.000549058494086766,-0.000862565077389517
"2","2018",53308,399,12677,37792,48659,3381,49158,218,10898,35473,45013,2663,-4150,-181,-1779,-2319,-4098,-3646,-29,NA,NA,NA,NA,NA,NA,-72.624257,42.071523,NA,"Agawam",25,"MA","Massachusetts",13,"Hampden",8000,413,"413","Eastern",-5,"Y","Agawam",NA,NA,"AGAWAM","MASSACHUSETTS",NA,NA,NA
"3","2018",18880,232,3706,13364,16502,1602,16218,142,3115,11386,14323,1148,-2662,-90,-591,-1978,-2569,-2179,-152,NA,NA,NA,NA,NA,NA,-72.46914,42.37686,NA,"Amherst",25,"MA","Massachusetts",15,"Hampshire",8000,413,"413","Eastern",-5,"Y","Amherst","Cushman||Pelham",NA,"AMHERST","MASSACHUSETTS",NA,NA,NA
"4","2018",100838,1626,25414,68588,91322,6771,94199,995,23093,65168,85379,5681,-6639,-631,-2321,-3420,-5741,-5943,11,NA,NA,NA,NA,NA,NA,-72.114488,42.433317,NA,"Barre",25,"MA","Massachusetts",27,"Worcester",9240,978,"978/351","Eastern",-5,"Y","Barre",NA,NA,"BARRE","MASSACHUSETTS",NA,NA,NA
"5","2018",15684,168,4086,9922,12403,2427,14170,167,3612,9120,11136,2398,-1514,-1,-474,-802,-1276,-1267,-3,NA,NA,NA,NA,NA,NA,-73.043385,42.159812,"P","East Otis",25,"MA","Massachusetts",3,"Berkshire",0,413,"413","Eastern",-5,"Y","East Otis",NA,"Big Pond||E Otis","EASTOTIS","MASSACHUSETTS",NA,NA,NA
"6","2018",58460,1009,17753,38111,54126,3751,54043,862,15973,35766,49419,3890,-4417,-147,-1780,-2345,-4125,-4707,-24,8210964,730948,263432,9205344,"STATEN ISLAND","NY",-74.094599,40.628781,NA,"Staten Island",36,"NY","New York",85,"Richmond",5600,718,"718/347","Eastern",-5,"Y","Staten Island",NA,NA,"STATENISLAND","NEWYORK",-0.000502377065591811,-0.000201108697198706,-0.000511333416763132
"7","2018",86779,592,20947,63911,80552,5917,72948,341,16574,54764,66661,6015,-13831,-251,-4373,-9147,-13520,-13891,86,11749168,683236,811996,13244400,"BRONX","NY",-73.920218,40.820195,NA,"Bronx",36,"NY","New York",5,"Bronx",5600,718,"718/347","Eastern",-5,"Y","Bronx",NA,NA,"BRONX","NEWYORK",-0.00115071977862603,-0.000367369400909788,-0.00104882063362629
"8","2018",74142,2300,21972,45613,65379,6285,72781,2234,21771,44516,64266,5931,-1361,-66,-201,-1097,-1298,-1113,0,14608908,1696144,901448,17206500,"AMAWALK","NY",-73.762148,41.294884,NA,"Amawalk",36,"NY","New York",119,"Westchester",5600,914,"914","Eastern",-5,"Y","Amawalk",NA,NA,"AMAWALK","NEWYORK",-8.88498989794446e-05,-3.89117905083531e-05,-6.4684857466655e-05
"9","2018",37510,235,11870,21973,33282,2547,36412,243,10953,21994,32709,2061,-1098,8,-917,21,-896,-573,17,NA,NA,NA,NA,"BREWSTER","NY",-73.599511,41.422678,NA,"Brewster",36,"NY","New York",79,"Putnam",5600,845,"845","Eastern",-5,"Y","Brewster",NA,"Sears Corners||Southeast","BREWSTER","NEWYORK",NA,NA,NA
"10","2018",275151,5672,73817,184423,254576,15064,256138,5000,64636,175302,237802,13257,-19013,-672,-9181,-9121,-18302,-16774,0,NA,NA,NA,NA,NA,NA,-72.482496,42.474743,NA,"Leverett",25,"MA","Massachusetts",11,"Franklin",8000,413,"413","Eastern",-5,"Y","Leverett",NA,"East Leverett||North Leverett","LEVERETT","MASSACHUSETTS",NA,NA,NA
"11","2018",22318,960,7305,12458,19548,1933,20274,661,6530,11494,17668,1728,-2044,-299,-775,-964,-1739,-1880,-67,4342404,522656,205912,5070972,"SUFFERN","NY",-74.111934,41.127671,NA,"Suffern",36,"NY","New York",87,"Rockland",5600,845,"845","Eastern",-5,"Y","Suffern","Airmont||Montebello",NA,"SUFFERN","NEWYORK",-0.000400469417401053,-0.000572078001591869,-0.000370737602179622
"12","2018",601584,28636,169164,389617,563352,31920,572036,27443,158527,372210,530643,34252,-29548,-1193,-10637,-17407,-28044,-32709,0,NA,NA,NA,NA,"BLOOMING GROVE","NY",-74.179202,41.382548,"P","Blooming Grove",36,"NY","New York",71,"Orange",5660,845,"845","Eastern",-5,"Y","Blooming Grove","Blooming Grv||S Bloomng Grv",NA,"BLOOMINGGROVE","NEWYORK",NA,NA,NA
